 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
1,171528,3525,0,0,255,0,Amaranthacea,1914.685,489.722,458.000,1.069,113.690,174913.500,1488.044,467.329,609.463,229.000,244.861,233.900,35.732,176159.189,0.935,39.129,21.373,0.911,0.954,0.981,0.777,3385.500,224292.846,0.765,0.935,1.701,0.001,0.767,0.588,169613.315,29.471,35.396,6.586,41.439,902623,0.957,0.256,0.019,361.397,0.981,0.439,0.962,5.283,2.299,35.565,5.265,2.294,35.411,5.240,2.289,35.239,5.263,1.622,15.519,0.159,1.705,5.339,35.908
2,161998,1391,0,0,254,0,Amaranthacea,1802.334,495.492,432.551,1.146,105.980,164971.500,1450.341,454.161,573.701,216.275,247.746,227.788,133.837,168330.711,0.873,19.690,20.052,0.840,0.917,0.982,0.805,2973.500,214325.318,0.756,0.873,1.596,0.024,0.792,0.627,160195.666,33.791,22.942,10.349,105.217,356271,0.982,0.117,0.008,362.666,0.981,0.436,0.963,2.234,1.495,23.345,2.205,1.485,22.998,2.158,1.469,22.506,2.199,0.271,4.437,0.124,1.707,2.257,23.540
3,159707,428,0,0,253,0,Amaranthacea,2219.922,482.312,437.287,1.103,109.060,165251.000,1453.804,450.938,706.623,218.644,241.156,226.463,49.062,165647.498,0.907,32.331,30.857,0.874,0.935,0.966,0.655,5544.000,210908.945,0.757,0.907,2.456,0.037,0.638,0.407,157487.078,12.197,12.284,17.910,320.321,109698,0.994,0.047,0.002,358.593,0.982,0.428,0.963,0.616,0.785,11.129,0.708,0.841,12.652,0.736,0.858,13.139,0.687,0.379,7.135,0.146,2.891,0.745,13.296
4,155196,117,0,0,252,0,Amaranthacea,1610.913,485.224,416.713,1.164,103.736,158132.500,1421.703,444.524,512.770,208.356,242.612,222.318,184.773,158806.598,0.859,16.355,16.721,0.839,0.916,0.981,0.883,2936.500,202198.840,0.768,0.859,1.331,1.216,0.867,0.752,153585.087,8.113,6.881,35.409,1253.249,30175,0.998,0.013,7.276E-4,342.430,0.982,0.447,0.966,0.199,0.446,7.053,0.195,0.441,6.884,0.190,0.436,6.719,0.194,0.020,1.032,0.014,0.607,0.201,7.120
5,161602,504,0,0,255,0,Amaranthacea,2271.319,501.172,433.059,1.157,115.724,182204.500,1462.541,453.606,722.983,216.529,250.586,227.863,161.147,170460.367,0.864,17.950,31.923,0.819,0.905,0.887,0.644,20602.500,217036.880,0.745,0.864,2.540,0.092,0.627,0.394,159330.681,18.363,13.457,16.855,283.607,129263,0.993,0.054,0.003,764.850,0.907,0.783,0.964,0.744,0.863,12.650,0.820,0.906,13.785,0.835,0.914,14.015,0.800,0.361,6.771,0.126,2.606,0.849,14.255
6,157813,66,0,0,225,0,Amaranthacea,1742.854,499.632,431.692,1.157,108.032,169571.500,1444.486,448.256,554.768,215.846,249.816,224.763,171.832,169400.099,0.864,17.146,19.248,0.805,0.897,0.931,0.829,11758.500,215686.905,0.732,0.864,1.532,1.681,0.808,0.653,156070.146,24.186,4.710,43.887,1925.584,16941,0.999,0.009,3.410E-4,674.336,0.922,0.771,0.965,0.089,0.298,3.905,0.113,0.336,4.951,0.121,0.347,5.290,0.107,0.072,3.166,0.035,1.569,0.121,5.290
7,156997,413,0,0,255,0,Amaranthacea,1732.026,542.623,385.338,1.408,93.996,160234.500,1455.208,447.096,551.321,192.669,271.312,223.818,839.982,164221.601,0.710,7.723,19.108,0.679,0.824,0.980,0.840,3237.500,209093.437,0.751,0.710,1.521,0.091,0.811,0.658,155264.974,20.371,12.743,18.869,354.724,105943,0.994,0.042,0.002,799.826,0.897,0.795,0.964,0.676,0.822,12.791,0.671,0.819,12.678,0.677,0.823,12.779,0.675,0.349,8.161,0.042,1.065,0.695,13.111
8,153423,61,0,0,238,0,Amaranthacea,1874.310,486.557,403.682,1.205,103.730,158558.500,1426.857,441.978,596.611,201.841,243.279,221.570,160.505,154263.620,0.830,17.489,22.898,0.825,0.908,0.968,0.761,5135.500,196414.541,0.781,0.830,1.822,2.746,0.741,0.549,151548.690,53.818,4.618,45.006,2027.088,15761,0.999,0.008,3.279E-4,798.663,0.900,0.788,0.963,0.085,0.291,3.821,0.108,0.329,4.870,0.115,0.339,5.175,0.103,0.068,3.047,0.033,1.537,0.115,5.175
9,130564,353,0,0,255,0,Amaranthacea,1910.116,459.427,368.000,1.248,93.263,134609.500,1318.046,407.724,608.009,184.000,229.713,206.380,218.837,132786.536,0.801,13.951,27.944,0.788,0.887,0.970,0.690,4045.500,169069.069,0.772,0.801,2.224,0.082,0.671,0.450,128653.884,53.868,12.327,17.819,317.061,90458,0.994,0.048,0.002,926.896,0.838,0.849,0.965,0.617,0.786,11.095,0.716,0.846,12.731,0.745,0.863,13.226,0.693,0.409,7.665,0.152,3.029,0.751,13.345
10,109875,30,0,0,209,0,Amaranthacea,1549.048,498.964,310.506,1.607,76.794,120377.500,1266.587,374.028,493.077,155.253,249.482,190.651,1234.000,121682.697,0.622,5.427,21.839,0.562,0.750,0.913,0.818,10502.500,154931.222,0.709,0.622,1.738,0.064,0.759,0.575,108325.952,25.894,3.781,53.759,2888.610,7727,0.999,0.006,2.198E-4,815.248,0.880,0.816,0.968,0.056,0.237,3.033,0.075,0.273,4.021,0.080,0.282,4.290,0.070,0.047,2.538,0.026,1.399,0.080,4.290
